id,name,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,created_at,vegan,vegetarian,note
2116,Kong,restaurant,,75101,75,48.8592430184608,2.34309854557068,2024-12-12 09:09:27,0,0,
2117,Campelli,restaurant,,75101,75,48.8642602580624,2.34032857802893,2024-12-12 09:09:27,0,0,
2118,Asian 1983,restaurant,asian,75101,75,48.8638777918206,2.34548168828096,2024-12-12 09:09:27,0,0,
2119,La Cantine des Tsars,restaurant,russian,75101,75,48.8610180540959,2.34380069759953,2024-12-12 09:09:27,0,1,
2120,Nodaiwa,restaurant,japanese,75101,75,48.8643878306287,2.33324729477084,2024-12-12 09:09:27,0,0,
2121,Clover Grill,restaurant,grill,75101,75,48.8610359913687,2.34177319904089,2024-12-12 09:09:27,0,0,
2122,L'Ardoise,restaurant,french,75101,75,48.8663173447393,2.32701794815131,2024-12-12 09:09:27,0,0,
2123,Miami Boulevard,restaurant,bistro,75101,75,48.8594798910445,2.34847888921774,2024-12-12 09:09:27,0,0,
2124,Le Maroc,restaurant,,75101,75,48.867634644642,2.33286969003288,2024-12-12 09:09:27,0,0,
2125,Café Courtial,restaurant,,75101,75,48.8616403265875,2.34243997943832,2024-12-12 09:09:27,0,0,
2126,Nino Fresco,restaurant,italian,75101,75,48.8638993333118,2.34573633049939,2024-12-12 09:09:27,0,0,
2127,Bò Bún Bòm,restaurant,vietnamese,75101,75,48.8656073975405,2.3338406496965,2024-12-12 09:09:27,0,0,
2128,Liberta,restaurant,italian,75101,75,48.8612649849634,2.34512537357705,2024-12-12 09:09:27,0,0,
2129,Fondue Zhangge,restaurant,,75101,75,48.861580898894,2.34917349753374,2024-12-12 09:09:27,0,0,
2130,Chez Zaza,restaurant,,75101,75,48.8614576849173,2.34919579339618,2024-12-12 09:09:27,0,0,
2131,Bellusci,restaurant,italian,75101,75,48.8662806320034,2.33142867323929,2024-12-12 09:09:27,0,0,
2132,Le Grand Louvre,restaurant,"french, italian",75101,75,48.8613189632119,2.33545534748569,2024-12-12 09:09:27,0,0,
2133,Ravioli Nord-Est,restaurant,chinese,75101,75,48.862846147178,2.34953618248406,2024-12-12 09:09:27,0,1,
2134,Délices de France,restaurant,,75101,75,48.8641620221572,2.33113639627564,2024-12-12 09:09:27,0,0,
2135,Nouilles Yaoji,restaurant,chinese,75101,75,48.8666405509256,2.33706684422799,2024-12-12 09:09:27,0,0,
2136,Goumard,restaurant,fish,75101,75,48.8679840861853,2.32554809761081,2024-12-12 09:09:27,0,0,
2137,La Renommée des Herbes Cuites,restaurant,french,75101,75,48.861271858124,2.34321094689224,2024-12-12 09:09:27,0,0,
2138,Au Chien qui Fume,restaurant,french,75101,75,48.8613540845941,2.34484407690655,2024-12-12 09:09:27,0,0,
2139,Ebis,restaurant,japanese,75101,75,48.8653962573995,2.3321571444441,2024-12-12 09:09:27,0,0,
2140,Saveur des Raviolis,restaurant,asian,75101,75,48.8644073604631,2.34627134737894,2024-12-12 09:09:27,1,1,
2141,Com,restaurant,vietnamese,75101,75,48.866237297564,2.33871305001125,2024-12-12 09:09:27,0,0,
2142,Le Cosy,restaurant,,75101,75,48.8662728368334,2.32716714602782,2024-12-12 09:09:27,0,0,
2143,L'Absinthe,restaurant,french,75101,75,48.866506943389,2.33205999818631,2024-12-12 09:09:27,0,0,
2144,Ha Noi 1988,restaurant,,75101,75,48.8567491508096,2.34156088543349,2024-12-12 09:09:27,0,0,
2145,Azteca,restaurant,mexican,75101,75,48.8619363754075,2.34244953480794,2024-12-12 09:09:27,0,0,
2146,Qian Xi,restaurant,"asian, chinese",75101,75,48.8604126292296,2.34594428551711,2024-12-12 09:09:27,0,0,
2147,Jin,restaurant,japanese,75101,75,48.8653405177434,2.33185665321531,2024-12-12 09:09:27,0,0,
2148,Le Louvre ripaille,restaurant,,75101,75,48.8603235295989,2.3412798402201,2024-12-12 09:09:27,0,0,
2149,Table d'Hôte du Palais Royal,restaurant,,75101,75,48.8661018460087,2.33892385487607,2024-12-12 09:09:27,0,0,
2150,Laï-laï Ken,restaurant,japanese,75101,75,48.86578836283,2.33514872950576,2024-12-12 09:09:27,0,0,
2151,L'Artisan du Burger,restaurant,burger,75101,75,48.8625087755753,2.34824218427212,2024-12-12 09:09:27,0,0,
2152,Ernest,restaurant,,75101,75,48.8599827214159,2.34321287472997,2024-12-12 09:09:27,0,0,
2153,Ô Château,restaurant,,75101,75,48.8642722441839,2.34412566398555,2024-12-12 09:09:27,0,0,
2154,Maslow,restaurant,,75101,75,48.8581540416005,2.34432112996757,2024-12-12 09:09:27,1,0,
2155,Waffle Factory,restaurant,,75101,75,48.8622248805148,2.34501263697939,2024-12-12 09:09:27,0,0,
2156,Poulette,restaurant,,75101,75,48.8634247499541,2.35036364396535,2024-12-12 09:09:27,0,1,
2157,DokiDoki,restaurant,,75101,75,48.8644819594014,2.34414896567637,2024-12-12 09:09:27,0,0,
2158,Odette,restaurant,,75101,75,48.8606487474421,2.34437452269077,2024-12-12 09:09:27,0,0,
2159,Le Paradis du Fruit,restaurant,,75101,75,48.8611096682976,2.34507726145284,2024-12-12 09:09:27,0,0,
2160,Restaurant Saudade,restaurant,portuguese,75101,75,48.860141390843,2.34533492115639,2024-12-12 09:09:27,0,0,
