restaurant_name,address,phone_number,reviews_count,reviews_average,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,vegan,vegetarian
nouilles yaoji,"27 Rue des Petits Champs, 75002 Paris",01 71 32 49 07,198,4.6,restaurant,chinese,75101,75,48.8666405509256,2.33706684422799,0,0
goumard,"9 Rue Duphot, 75001 Paris",01 42 60 36 07,490,4.0,restaurant,fish,75101,75,48.8679840861853,2.32554809761081,0,0
au chien qui fume,"33 Rue du Pont Neuf, 75001 Paris",01 42 36 07 42,2492,4.0,restaurant,french,75101,75,48.8613540845941,2.34484407690655,0,0
ebis,"19 Rue Saint-Roch, 75001 Paris",01 42 61 05 90,667,4.6,restaurant,japanese,75101,75,48.8653962573995,2.3321571444441,0,0
ha noi 1988,"72 Quai des Orfèvres, 75001 Paris",07 65 21 68 68,1314,4.2,restaurant,,75101,75,48.8567491508096,2.34156088543349,0,0
azteca,"7 Rue Sauval, 75001 Paris",01 42 36 11 16,1281,4.1,restaurant,mexican,75101,75,48.8619363754075,2.34244953480794,0,0
qian xi,"19 Rue des Halles, 75001 Paris",01 42 36 21 51,354,4.6,restaurant,"asian, chinese",75101,75,48.8604126292296,2.34594428551711,0,0
le louvre ripaille,"1 Rue Perrault, 75001 Paris",01 42 97 49 91,641,4.5,restaurant,,75101,75,48.8603235295989,2.3412798402201,0,0
laï-laï ken,"7 Rue Sainte-Anne, 75001 Paris",01 40 15 96 90,2503,4.5,restaurant,japanese,75101,75,48.86578836283,2.33514872950576,0,0
l'artisan du burger,"94 Rue Rambuteau, 75001 Paris",01 42 36 19 13,1553,4.1,restaurant,burger,75101,75,48.8625087755753,2.34824218427212,0,0
ernest,"25 R. de la Monnaie, 75001 Paris",,231,3.5,restaurant,,75101,75,48.8599827214159,2.34321287472997,0,0
maslow,"14 Quai de la Mégisserie, 75001 Paris",,7658,4.9,restaurant,,75101,75,48.8581540416005,2.34432112996757,1,0
poulette,"3 Rue Étienne Marcel, 75001 Paris",09 53 62 89 17,958,4.5,restaurant,,75101,75,48.8634247499541,2.35036364396535,0,1
dokidoki,"59 Rue Jean-Jacques Rousseau, 75001 Paris",09 81 01 04 11,431,4.6,restaurant,,75101,75,48.8644819594014,2.34414896567637,0,0
restaurant saudade,"34 Rue des Bourdonnais, 75001 Paris",01 42 36 30 71,439,4.6,restaurant,portuguese,75101,75,48.860141390843,2.34533492115639,0,0
l'écume saint-honoré - restaurant,"6 Rue du Marché Saint-Honoré, 75001 Paris",01 42 61 93 87,282,4.2,restaurant,seafood,75101,75,48.865944098591,2.33121183340418,0,0
pizza e mozza,"1 Rue des Innocents, 75001 Paris",01 47 03 90 14,1396,4.3,restaurant,pizza,75101,75,48.8602971266039,2.34816599277229,0,1
trantranzai,"94 Rue St Denis, 75001 Paris",09 51 92 24 56,3638,4.3,restaurant,chinese,75101,75,48.8631581216141,2.34989727487277,0,0
bistrot victoires,"6 Rue de la Vrillière, 75001 Paris",01 42 61 43 78,5560,4.4,restaurant,,75101,75,48.8655553459218,2.34038456914212,0,0
bao's,"22 Rue Pierre Lescot, 75001 Paris",01 40 28 92 59,639,4.2,restaurant,asian,75101,75,48.8630489892348,2.34883788613067,0,0
au coin des gourmets indochine,"38 Rue du Mont Thabor, 75001 Paris",01 42 60 79 79,203,4.4,restaurant,asian,75101,75,48.866527898147,2.32634504896456,0,0
crêperie parisienne,"18 Quai du Louvre, 75001 Paris",01 40 26 13 74,3325,4.6,restaurant,,75101,75,48.8588884639566,2.34123306920037,0,0
café plume,"164 Rue Saint-Honoré, 75001 Paris",01 42 60 27 66,1620,4.2,restaurant,,75101,75,48.8621876648647,2.33975106490027,0,0
chikoja,"14 Rue Sainte-Anne, 75001 Paris",01 42 60 58 88,1815,4.0,restaurant,korean,75101,75,48.8660146742157,2.3354945668307,0,0
la robe et le palais,"13 Rue des Lavandières Sainte-Opportune, 75001 Paris",09 55 59 69 39,940,4.5,restaurant,"bistro, french",75101,75,48.8586436285649,2.34585007292543,0,0
yahmi,"25 Av. Victoria, 75001 Paris",01 45 08 09 51,126,3.8,restaurant,,75101,75,48.8580662830743,2.34583423112844,0,0
granite,"6 Rue Bailleul, 75001 Paris",01 40 13 64 06,445,4.7,restaurant,french,75101,75,48.8610075767169,2.34199104470437,0,0
aoi sushi,"10 Rue Jean-Jacques Rousseau, 75001 Paris",01 40 26 12 52,295,4.4,restaurant,sushi,75101,75,48.8623241222484,2.34030033101521,0,0
chiyoda,"102 Rue Saint-Honoré, 75001 Paris",09 81 93 71 41,248,4.6,restaurant,japanese,75101,75,48.8615784681421,2.34210042854076,0,0
le palais royal,"110 Gal de Valois, 75001 Paris",01 40 20 00 27,727,4.6,restaurant,french,75101,75,48.8657485487899,2.33897582267576,0,0
le soufflé,"36 Rue du Mont Thabor, 75001 Paris",01 42 60 27 19,2950,4.6,restaurant,french,75101,75,48.8664812947653,2.32652081747409,0,0
on,"39 Rue Saint-Roch, 75001 Paris",09 79 67 32 71,48,4.7,restaurant,,75101,75,48.8662856611453,2.3327704482993,0,0
やすべえ,"9 Rue Sainte-Anne, 75001 Paris",01 47 03 96 37,973,4.5,restaurant,japanese,75101,75,48.8659273347846,2.3351934888687,0,0
comptoir de la gastronomie,"34 Rue Montmartre, 75001 Paris",01 42 33 31 32,2709,4.4,restaurant,french,75101,75,48.8644965439129,2.34544355062153,0,0
